                  盛和资源 (600392)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	  KDJ.K     	  KDJ.D     	  KDJ.J     	 BOLL.BOLL  	 BOLL.UB    	 BOLL.LB    	
 2015/06/10	  39.500	  39.800	  38.500	  39.270	       10409616	           	           	           	           	           	      0.000	 104096.156	           	           	      0.000	      0.000	      0.000	     59.231	     59.231	     59.231	           	           	           	
 2015/06/11	  39.270	  40.200	  38.950	  39.740	       10890765	           	           	           	           	           	      0.000	 108907.648	           	           	      0.037	      0.007	      0.060	     63.801	     60.754	     69.894	           	           	           	
 2015/06/12	  40.020	  40.040	  38.200	  38.940	       13081397	           	           	           	           	           	      0.000	 130813.969	           	           	      0.003	      0.007	     -0.008	     54.867	     58.792	     47.018	           	           	           	
 2015/06/15	  39.000	  39.080	  36.810	  36.960	       11922355	           	           	           	           	           	      0.000	 119223.547	           	           	     -0.183	     -0.031	     -0.303	     38.053	     51.879	     10.401	           	           	           	
 2015/06/16	  36.500	  36.950	  35.300	  36.020	        9181070	     38.186	           	           	           	           	      0.000	  91810.703	 110970.398	           	     -0.401	     -0.105	     -0.591	     30.267	     44.675	      1.450	           	           	           	
 2015/06/17	  36.480	  37.410	  35.580	  37.240	        9074588	     37.780	           	           	           	           	      0.000	  90745.883	 108300.344	           	     -0.470	     -0.178	     -0.583	     33.375	     40.908	     18.309	           	           	           	
 2015/06/18	  36.990	  37.020	  34.500	  34.770	        8641309	     36.786	           	           	           	           	      0.000	  86413.094	 103801.438	           	     -0.715	     -0.286	     -0.860	     23.829	     35.215	      1.057	           	           	           	
 2015/06/19	  34.340	  34.340	  31.510	  31.830	        9888745	     35.364	           	           	           	           	      0.000	  98887.453	  97416.133	           	     -1.134	     -0.455	     -1.358	     17.113	     29.181	     -7.022	           	           	           	
 2015/06/23	  31.770	  32.770	  29.000	  32.110	        8844780	     34.394	           	           	           	           	      0.000	  88447.797	  91260.984	           	     -1.427	     -0.650	     -1.555	     20.665	     26.343	      9.310	           	           	           	
 2015/06/24	  32.470	  32.890	  31.850	  32.720	        8934940	     33.734	     35.960	           	           	           	      0.000	  89349.398	  90768.727	 100869.563	     -1.592	     -0.838	     -1.507	     24.848	     25.844	     22.855	           	           	           	
 2015/06/25	  32.700	  32.700	  29.450	  29.710	       11709893	     32.228	     35.004	           	           	           	      0.000	 117098.930	  96039.352	 102169.844	     -1.943	     -1.059	     -1.767	     18.709	     23.466	      9.195	           	           	           	
 2015/06/26	  28.800	  28.800	  26.740	  26.740	       10584555	     30.622	     33.704	           	           	           	      0.000	 105845.547	  99925.828	 101863.633	     -2.432	     -1.334	     -2.197	     12.473	     19.802	     -2.185	           	           	           	
 2015/06/29	  27.600	  27.970	  24.070	  24.110	       11476999	     29.078	     32.221	           	           	           	      0.000	 114769.992	 103102.336	 100259.234	     -2.998	     -1.667	     -2.663	      8.415	     16.006	     -6.767	           	           	           	
 2015/06/30	  23.990	  25.950	  21.880	  25.510	       12247786	     27.758	     31.076	           	           	           	      0.000	 122477.859	 109908.352	 100584.672	     -3.296	     -1.992	     -2.606	     13.401	     15.138	      9.929	           	           	           	
 2015/07/01	  25.180	  25.780	  22.960	  22.960	       10011272	     25.806	     29.770	           	           	           	      0.000	 100112.719	 112061.023	 101414.875	     -3.695	     -2.333	     -2.723	     11.312	     13.863	      6.211	           	           	           	
 2015/07/02	  23.030	  23.580	  20.660	  20.660	        9454278	     23.996	     28.112	           	           	           	      0.000	  94542.781	 107549.773	 101794.563	     -4.148	     -2.696	     -2.905	      7.541	     11.756	     -0.887	           	           	           	
 2015/07/03	  19.600	  20.990	  18.590	  18.590	       10415512	     22.366	     26.494	           	           	           	      0.000	 104155.117	 107211.703	 103568.766	     -4.622	     -3.081	     -3.081	      5.028	      9.513	     -3.943	           	           	           	
