                  上证指数 (999999)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	  KDJ.K     	  KDJ.D     	  KDJ.J     	 BOLL.BOLL  	 BOLL.UB    	 BOLL.LB    	
 2015/10/21	3428.560	3447.260	3265.440	3320.680	      458455424	           	           	           	           	           	      0.000	458455424.000	           	           	      0.000	      0.000	      0.000	     30.382	     30.382	     30.382	           	           	           	
 2015/10/22	3292.290	3373.780	3282.990	3368.740	      323739328	           	           	           	           	           	      0.000	323739328.000	           	           	      3.834	      0.767	      6.134	     39.193	     33.319	     50.940	           	           	           	
 2015/10/23	3377.550	3422.020	3360.220	3412.430	      347372864	           	           	           	           	           	      0.000	347372864.000	           	           	     10.279	      2.669	     15.220	     53.076	     39.905	     79.420	           	           	           	
 2015/10/26	3448.650	3457.520	3402.000	3429.580	      365560864	           	           	           	           	           	      0.000	365560864.000	           	           	     16.580	      5.451	     22.257	     63.869	     47.893	     95.821	           	           	           	
 2015/10/27	3409.140	3441.570	3332.620	3434.340	      328172768	   3393.154	           	           	           	           	      0.000	328172768.000	364660256.000	           	     21.707	      8.702	     26.009	     71.890	     55.892	    103.886	           	           	           	
 2015/10/28	3417.010	3439.760	3367.230	3375.200	      293523296	   3404.058	           	           	           	           	      0.000	293523296.000	331673824.000	           	     20.759	     11.114	     19.290	     66.974	     59.586	     81.751	           	           	           	
 2015/10/29	3387.770	3411.710	3362.510	3387.320	      235676032	   3407.774	           	           	           	           	      0.000	235676032.000	314061152.000	           	     20.746	     13.040	     15.412	     65.800	     61.657	     74.086	           	           	           	
 2015/10/30	3380.280	3417.200	3346.590	3382.560	      243595120	   3401.800	           	           	           	           	      0.000	243595120.000	293305632.000	           	     20.120	     14.456	     11.328	     64.192	     62.502	     67.571	           	           	           	
 2015/11/02	3337.580	3391.060	3322.310	3325.080	      230951136	   3380.900	           	           	           	           	      0.000	230951136.000	266383696.000	           	     14.815	     14.528	      0.575	     53.144	     59.383	     40.667	           	           	           	
 2015/11/03	3330.320	3346.270	3302.180	3316.700	      192897424	   3357.372	   3375.263	           	           	           	      0.000	192897424.000	239328592.000	301994432.000	      9.822	     13.587	     -7.530	     41.868	     53.545	     18.514	           	           	           	
 2015/11/04	3325.620	3459.650	3325.620	3459.640	      339078720	   3374.260	   3389.159	           	           	           	      0.000	339078720.000	248439712.000	290056768.000	     17.200	     14.309	      5.781	     61.243	     56.111	     71.508	           	           	           	
 2015/11/05	3459.220	3585.660	3455.530	3522.820	      553254976	   3401.360	   3404.567	           	           	           	      0.000	553254976.000	311955520.000	313008320.000	     27.825	     17.013	     21.624	     66.773	     59.665	     80.989	           	           	           	
 2015/11/06	3514.440	3596.380	3508.830	3590.030	      429167040	   3442.854	   3422.327	           	           	           	      0.000	429167040.000	349069888.000	321187744.000	     41.193	     21.849	     38.689	     77.129	     65.486	    100.415	           	           	           	
 2015/11/09	3588.500	3673.760	3588.500	3646.880	      503016672	   3507.214	   3444.057	           	           	           	      0.000	503016672.000	403482944.000	334933312.000	     55.733	     28.626	     54.215	     82.341	     71.105	    104.815	           	           	           	
 2015/11/10	3617.400	3669.530	3607.890	3640.490	      429746560	   3571.972	   3464.672	           	           	           	      0.000	429746560.000	450852800.000	345090688.000	     65.979	     36.096	     59.766	     85.243	     75.817	    104.094	           	           	           	
 2015/11/11	3635.000	3654.880	3605.620	3650.250	      360972640	   3610.094	   3492.177	           	           	           	      0.000	360972640.000	455231584.000	351835648.000	     74.034	     43.684	     60.700	     88.053	     79.896	    104.367	           	           	           	
 2015/11/12	3656.820	3659.310	3603.230	3632.900	      361717600	   3632.110	   3516.735	           	           	           	      0.000	361717600.000	416924064.000	364439776.000	     78.117	     50.570	     55.093	     88.370	     82.721	     99.668	           	           	           	
 2015/11/13	3600.760	3632.561	3564.811	3580.841	      345870944	   3630.272	   3536.563	           	           	           	      0.000	345870944.000	400264896.000	374667392.000	     76.272	     55.711	     41.123	     83.911	     83.117	     85.498	           	           	           	
 2015/11/16	3522.461	3607.611	3519.421	3606.961	      276187072	   3622.288	   3564.751	           	           	           	      0.000	276187072.000	354898944.000	379190944.000	     76.042	     59.777	     32.530	     82.878	     83.038	     82.559	           	           	           	
 2015/11/17	3629.981	3678.271	3598.071	3604.801	      383575456	   3615.151	   3593.561	   3484.412	           	           	      0.000	383575456.000	345664704.000	398258752.000	     74.822	     62.786	     24.073	     77.591	     81.222	     70.328	   3484.412	   3730.854	   3237.970	
 2015/11/18	3605.061	3617.071	3558.701	3568.471	      297580736	   3598.794	   3604.444	   3496.802	           	           	      0.000	297580736.000	332986368.000	394108992.000	     70.116	     64.252	     11.728	     63.460	     75.301	     39.777	   3496.802	   3733.300	   3260.303	
 2015/11/19	3573.781	3618.211	3561.041	3617.061	      247915584	   3595.626	   3613.868	   3509.218	           	           	      0.000	247915584.000	310226016.000	363575040.000	     69.506	     65.303	      8.406	     62.795	     71.133	     46.121	   3509.218	   3743.470	   3274.965	
